French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
mois,month
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
place,square
parle,speak
étaient,were
affaire,case
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
suite,after
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
enfin,finally
eau,water
attendez,Wait
nouvelle,new
dirait,would say
compte,account
loin,far
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
